"","ensembl_gene_rec","genes","logFC","logCPM","LR","PValue","FDR"
"5515","ENSG00000125740.13","FOSB",-6.41078882705698,6.82049115689502,294.348648511001,5.61111307069101e-66,9.09280873105478e-62
"23301","ENSG00000244731.7","C4A",-3.46776579919039,5.90263161151216,174.257646691752,8.695998835283e-40,7.04593305628805e-36
"369","ENSG00000018280.16","SLC11A1",-5.20288841920114,3.11081272862971,127.10889101362,1.75855165599032e-29,9.49910986177438e-26
"1640","ENSG00000085741.12","WNT11",-4.65439331030091,4.53321025762771,117.1411269884,2.6735072642074e-27,1.08310463041202e-23
"6655","ENSG00000134363.11","FST",-4.24476778319314,4.94331129329904,97.8088116694657,4.60792485679011e-23,1.49342844608567e-19
"3853","ENSG00000111799.20","COL12A1",-2.12774420872586,6.27223944121278,97.3776039163582,5.72903778697301e-23,1.54731762229829e-19
"18616","ENSG00000224389.9","C4B",-4.12058814819598,5.30182066994979,93.9854783083135,3.17847223407629e-22,7.35816322188661e-19
"10539","ENSG00000163220.10","S100A9",2.38211255823599,7.31172201204111,91.7320159038486,9.92461413105715e-22,2.00655098351219e-18
"2943","ENSG00000104951.15","IL4I1",2.6088756200345,5.20000603014644,91.5026887120183,1.11440659374327e-21,2.00655098351219e-18
"19498","ENSG00000227507.2","LTB",4.6383231746087,2.95435660607,90.6568640275286,1.70878223767587e-21,2.76908161615375e-18
"1723","ENSG00000087586.17","AURKA",2.08043326120333,6.38467991028338,87.8364330096734,7.10972305757406e-21,1.04739147407261e-17
"8831","ENSG00000149043.16","SYT8",-3.09078702370776,5.46657121798967,87.4296020886347,8.73335664902681e-21,1.179367037479e-17
"12881","ENSG00000173391.8","OLR1",-6.05023401555789,2.00048763098793,83.9214007957721,5.14841850376001e-20,6.41770168103315e-17
"2307","ENSG00000100604.12","CHGA",4.9904956021281,4.36145501203129,82.8990064302897,8.63545757487498e-20,9.99554214291779e-17
"6559","ENSG00000133800.8","LYVE1",-7.53480155493674,1.66484267048371,81.9940107668103,1.36499689949286e-19,1.47465165041879e-16
"1835","ENSG00000090104.11","RGS1",-6.0097497671986,2.1604311037902,80.6499544616462,2.69460740760734e-19,2.72913206501731e-16
"6725","ENSG00000134824.13","FADS2",2.58787477516541,7.70545772479718,80.0268647739521,3.69353598635731e-19,3.52080886228943e-16
"16203","ENSG00000197635.9","DPP4",3.03515451068076,3.87470266995583,74.5992711422923,5.76644913919286e-18,5.19140601670113e-15
"2510","ENSG00000101670.11","LIPG",3.02687730830391,4.69360738855925,74.1583793721936,7.20944086149575e-18,6.14889416634414e-15
"6338","ENSG00000132326.11","PER2",-2.33462526513946,5.51931871359695,73.132905505894,1.21206822531417e-17,9.8207827956081e-15
"7700","ENSG00000140465.13","CYP1A1",6.18492872809556,2.62063877041739,72.9348954478125,1.33997907963581e-17,1.03401718978564e-14
"3954","ENSG00000112494.9","UNC93A",3.82948967948107,3.14810012625323,72.1939151265254,1.95056285732904e-17,1.43676686831896e-14
"23451","ENSG00000247095.2","MIR210HG",-2.52342263828732,4.19670965531437,70.9777573036998,3.61274986514684e-17,2.53530017316632e-14
"6475","ENSG00000133067.17","LGR6",-2.90544894273967,3.82792728076654,70.9016482268617,3.75484135488996e-17,2.53530017316632e-14
"5579","ENSG00000125968.8","ID1",-2.67467675099389,5.53707662016335,70.2736179494988,5.162349698804e-17,3.34623507476475e-14
"12253","ENSG00000170345.9","FOS",-3.43861184310702,7.14627845365632,68.5258281242629,1.2522667039111e-16,7.80499305264594e-14
"2036","ENSG00000099194.5","SCD",2.81228654525136,9.10902605667634,68.4342812479901,1.31177200489411e-16,7.87306123678113e-14
"12294","ENSG00000170485.16","NPAS2",1.91382533374824,7.40274982244499,67.9496916300304,1.67720639712967e-16,9.70683202338794e-14
"5332","ENSG00000124249.6","KCNK15",-2.04695396334432,5.2812030124456,64.7359990671909,8.56359453690721e-16,4.78527756795108e-13
"14394","ENSG00000182809.10","CRIP2",-2.18250763362803,7.71433053599889,63.4904202454817,1.6114860260002e-15,8.7047103504444e-13
"16701","ENSG00000203747.10","FCGR3A",-2.99606065243248,3.61243187744993,63.1893893281797,1.87757079833389e-15,9.5772067082728e-13
"26340","ENSG00000260428.2","SCX",-2.37634549379255,4.28478377349643,63.175132076444,1.89121021082832e-15,9.5772067082728e-13
"4945","ENSG00000120738.7","EGR1",-3.72850512385463,6.63014159662232,62.5163200827666,2.64245813147108e-15,1.29760709152997e-12
"976","ENSG00000067064.11","IDI1",1.84087918479116,6.55423874778011,62.0768327924664,3.30314662492183e-15,1.57433797226054e-12
"6587","ENSG00000134028.14","ADAMDEC1",6.10750802317442,2.01580182017076,61.5739146641497,4.26430762822143e-15,1.97437443186652e-12
"2369","ENSG00000100985.7","MMP9",5.77336620469452,4.64027379124384,61.3169073838908,4.85889821269398e-15,2.1832302082933e-12
"10695","ENSG00000163735.6","CXCL5",5.04315849378226,3.13648817261781,61.2665208037201,4.98485144750706e-15,2.1832302082933e-12
"4902","ENSG00000120437.8","ACAT2",2.31903293534582,6.3288786459651,60.4356241182187,7.60245665080395e-15,3.24204763227048e-12
"8734","ENSG00000148204.11","CRB2",-1.86689419567133,5.01248532845697,60.2568201004687,8.32538656878049e-15,3.45930485505353e-12
"12449","ENSG00000171223.5","JUNB",-1.60571015089242,7.37617175001017,60.0516007340143,9.24028223000922e-15,3.74346933843249e-12
"13437","ENSG00000176788.8","BASP1",2.01589424527047,5.23978056922462,59.5207242604304,1.21013020540949e-14,4.68297245946923e-12
"11639","ENSG00000167552.13","TUBA1A",-1.69577916062212,7.17783423841779,59.5148798514288,1.21372936314537e-14,4.68297245946923e-12
"2778","ENSG00000103569.9","AQP9",-4.23376813793551,2.28402387729721,58.380728195032,2.15996516553505e-14,8.140054769185e-12
"7408","ENSG00000138435.15","CHRNA1",7.04204846334296,1.99194491006724,58.1034110641784,2.4869470873177e-14,9.15931307954166e-12
"17404","ENSG00000213145.9","CRIP1",-3.10994625902428,4.90971927156386,58.0553870383396,2.54840631729941e-14,9.17709430485266e-12
"9528","ENSG00000155659.14","VSIG4",-3.39222458132852,3.3918187010636,57.593234750938,3.22332341924452e-14,1.13552078280125e-11
"2450","ENSG00000101335.9","MYL9",-2.00538827883143,7.05872847852964,57.3463008984655,3.65449995518401e-14,1.25733384626677e-11
"3275","ENSG00000106772.17","PRUNE2",-2.94649581818863,4.74890146480286,57.3090981905344,3.7242841481521e-14,1.25733384626677e-11
"11951","ENSG00000168874.12","ATOH8",-3.87246192646295,1.54505249513444,57.0397171736919,4.27098701243607e-14,1.41247641911279e-11
"2044","ENSG00000099260.10","PALMD",-3.13920744275968,4.21427932350202,55.1914366592979,1.09344079033145e-13,3.54384160146422e-11
"20478","ENSG00000231205.11","ZNF826P",-3.91755819247681,2.41409760163758,54.3417982919837,1.68479726477728e-13,5.35336072072859e-11
"4712","ENSG00000118849.9","RARRES1",-2.91748517117963,6.96290211754877,54.1726467188313,1.83625291968589e-13,5.7223997237519e-11
"6925","ENSG00000135916.15","ITM2C",1.85669589143076,7.60220575320622,53.9643261585056,2.04162963911716e-13,6.24237892488558e-11
"14987","ENSG00000185633.10","NDUFA4L2",-3.64576614290012,3.32895146665084,53.4181619966243,2.69592862592083e-13,8.08958123571425e-11
"14129","ENSG00000181085.14","MAPK15",-2.14356041808538,6.3942032588881,53.3822857421099,2.74561535306562e-13,8.08958123571425e-11
"7404","ENSG00000138413.13","IDH1",1.89995508896383,8.5813709679067,53.2939763992822,2.87185810741165e-13,8.31043939832246e-11
"15381","ENSG00000187678.9","SPRY4",2.04412465567568,5.74636228933967,52.9610173582083,3.40234254894059e-13,9.67280017641795e-11
"11157","ENSG00000165474.6","GJB2",3.4008583833399,4.99768535251958,52.837793129563,3.62263126060903e-13,1.01215068238223e-10
"10961","ENSG00000164611.12","PTTG1",1.55430815057693,5.90187794789686,52.6979842659972,3.88990133855291e-13,1.06840425747881e-10
"429","ENSG00000024526.16","DEPDC1",1.9258931355274,5.50832169378165,51.2078537778201,8.30855505289585e-13,2.24400224386962e-10
"16404","ENSG00000198417.6","MT1F",-2.05981833126345,5.96391355150024,50.816314050645,1.01427156986933e-12,2.69447062126763e-10
"13880","ENSG00000179403.11","VWA1",-1.6334022788661,7.04421159425362,50.650507775032,1.10367891627147e-12,2.88469626422244e-10
"12939","ENSG00000173698.17","ADGRG2",-3.04982358789022,6.14206876756906,50.1888820277965,1.39636717313183e-12,3.59176667311133e-10
"393","ENSG00000020633.18","RUNX3",2.02737039845656,5.54039912072119,49.4335816390704,2.05202734383728e-12,5.19579736045049e-10
"10087","ENSG00000160326.13","SLC2A6",2.20932115775215,4.53091116571053,49.3717174405521,2.11776940687607e-12,5.27976203668103e-10
"16761","ENSG00000204054.13","LINC00963",-1.48538633448705,7.6379469015557,49.1136700949763,2.41550946843524e-12,5.93080771757472e-10
"802","ENSG00000060656.19","PTPRU",-1.57527348470826,6.91432130595024,48.9591832850513,2.61344775306535e-12,6.32103296095879e-10
"6084","ENSG00000130635.15","COL5A1",-2.23533241247943,4.87400000291803,48.6652598764207,3.03596843006812e-12,7.23498064841968e-10
"15739","ENSG00000189334.8","S100A14",1.6022144656278,7.69309048963187,48.5955633192035,3.14580086732018e-12,7.38807290651065e-10
"5213","ENSG00000123358.19","NR4A1",-2.26912471837428,5.85741243224507,48.5316050327168,3.25008602367698e-12,7.52394914481221e-10
"12549","ENSG00000171711.2","DEFB4A",4.81670634037885,2.19924759113812,48.3918403016113,3.49017432171142e-12,7.96595420892023e-10
"1173","ENSG00000072571.19","HMMR",2.04626391412259,5.82340784923381,47.6334124802827,5.13851835843182e-12,1.15652347219983e-09
"671","ENSG00000050767.16","COL23A1",-2.61837711893449,4.79356095684691,47.3693833477014,5.87938533406082e-12,1.30514300463638e-09
"6593","ENSG00000134057.14","CCNB1",1.67143357953498,7.20529639309092,47.3073375934515,6.06846260930426e-12,1.32891130518616e-09
"10544","ENSG00000163251.3","FZD5",1.67281853351391,5.85609690303169,47.2605747282838,6.21497824650017e-12,1.34284963312714e-09
"14760","ENSG00000184557.4","SOCS3",-1.72875689235981,5.75751344322566,46.8990015143238,7.47407804458008e-12,1.59365045674237e-09
"8188","ENSG00000143842.14","SOX13",1.55898065593793,6.58970449671407,46.807403439227,7.83169883018583e-12,1.64732300647745e-09
"13208","ENSG00000175318.11","GRAMD2A",-2.5606387838712,4.53565516632305,46.7654832945414,8.00102887846718e-12,1.64732300647745e-09
"19197","ENSG00000226416.1","MRPL23-AS1",-5.308723329757,1.08602973698686,46.7453469705364,8.08366440858519e-12,1.64732300647745e-09
"621","ENSG00000048052.21","HDAC9",1.43103582979677,6.57334064849597,46.7335631754944,8.13241842136353e-12,1.64732300647745e-09
"12843","ENSG00000173207.12","CKS1B",1.40774375350208,6.61486522024445,46.3033440673709,1.01290935212056e-11,2.02644395692761e-09
"7447","ENSG00000138670.17","RASGEF1B",-2.69845844704094,3.51687741944128,45.7068687260699,1.3734034038471e-11,2.70875410807743e-09
"1668","ENSG00000086544.2","ITPKC",-1.42872143591948,6.43454323336613,45.6870207101087,1.3873902559113e-11,2.70875410807743e-09
"7356","ENSG00000138131.3","LOXL4",-2.12988672894099,3.7946840564277,45.0614580365725,1.90946742592379e-11,3.68368090917797e-09
"8013","ENSG00000142945.12","KIF2C",1.92658086756327,6.19696353367663,44.8383836386225,2.13986583897705e-11,4.07959128477918e-09
"2141","ENSG00000100097.11","LGALS1",1.98874569635922,7.16430164921273,44.7127973056148,2.28161173496753e-11,4.28833479489443e-09
"5334","ENSG00000124253.10","PCK1",-4.71958019334888,3.18893378715313,44.6951371979764,2.30228403058201e-11,4.28833479489443e-09
"4570","ENSG00000117399.13","CDC20",1.73795855385854,6.99384344342965,44.4432582089933,2.61837098195632e-11,4.82167065484116e-09
"60","ENSG00000004799.7","PDK4",-3.0445502859174,4.40973859853616,44.4085538734757,2.66520036442073e-11,4.85276088825145e-09
"539","ENSG00000038427.15","VCAN",-3.90814120167003,3.14080731870627,44.2283957648718,2.92211604868646e-11,5.26143228544045e-09
"14330","ENSG00000182481.8","KPNA2",1.85354013822162,7.67316445720106,43.695050451334,3.83741061476829e-11,6.83354274860661e-09
"4616","ENSG00000117650.12","NEK2",1.73031718764244,4.83552652264561,43.3038065649854,4.68670870678007e-11,8.25522984710556e-09
"4096","ENSG00000113657.12","DPYSL3",-2.61367331256236,8.01757050584634,43.2814822156478,4.74048686173185e-11,8.26017092412523e-09
"6982","ENSG00000136158.11","SPRY2",2.13595531664333,6.16366069812527,43.2059365877033,4.92709595377888e-11,8.49399892882838e-09
"12037","ENSG00000169231.13","THBS3",-1.42401173227223,6.79742694791719,43.1550021905018,5.05704409300189e-11,8.62625258179955e-09
"2650","ENSG00000102854.15","MSLN",-1.36986301881019,9.05868617943819,42.9776803391009,5.53679435611464e-11,9.34622422300393e-09
"3406","ENSG00000108106.13","UBE2S",1.32685461137454,6.74772357483944,42.451657061093,7.24510048537149e-11,1.21037993160253e-08
"2682","ENSG00000103018.16","CYB5B",1.39992347009312,6.61165063575432,42.1107816208311,8.62463690277879e-11,1.42614531642378e-08
"11623","ENSG00000167508.11","MVD",1.66909154001309,5.67474848756259,41.9814421308583,9.21437679606728e-11,1.50827248464919e-08
"15319","ENSG00000187244.11","BCAM",-1.57043228844512,9.91933585880251,41.5741051812687,1.13486524253191e-10,1.83904912552296e-08
"16545","ENSG00000198826.10","ARHGAP11A",1.67342631117276,6.27231977944431,41.5012330010131,1.17796608419588e-10,1.88999409845487e-08
"5271","ENSG00000123975.4","CKS2",1.55009299187282,5.75194368261329,41.4082590131319,1.23534359924396e-10,1.96262186526945e-08
"9733","ENSG00000157456.7","CCNB2",1.64772913818752,5.77698399683123,40.7015362539211,1.77347697160595e-10,2.79021304124995e-08
"5696","ENSG00000127129.9","EDN2",-3.44209874296655,2.56462218543251,40.4981215037401,1.96805164667748e-10,3.06656508984698e-08
"5064","ENSG00000121957.13","GPSM2",1.37894791561875,6.01395635850644,40.3213921224548,2.15437060344596e-10,3.3249119646516e-08
"24067","ENSG00000250722.5","SELENOP",-1.6887350860889,6.96464041138809,40.1286828256329,2.3777202415578e-10,3.60702950874688e-08
"24408","ENSG00000253522.6","MIR3142HG",5.54753890703618,-0.189780449924727,40.1233184189947,2.38425859857144e-10,3.60702950874688e-08
"12108","ENSG00000169607.12","CKAP2L",2.08598481866054,5.12010050668226,40.1072556564142,2.40394438102229e-10,3.60702950874688e-08
"7368","ENSG00000138180.15","CEP55",2.01493348976138,6.18761068271467,39.9014486811159,2.67105021421264e-10,3.94190694499571e-08
"13157","ENSG00000175063.16","UBE2C",1.6002762316375,6.7537963230642,39.8893879647882,2.68759428325646e-10,3.94190694499571e-08
