"ensembl_gene_rec","gene_name","A778","A820","A870","A899"
"ENSG00000000003.14","TSPAN6",846,987,327,1045
"ENSG00000000005.5","TNMD",NA,NA,NA,2
"ENSG00000000419.12","DPM1",1079,521,1140,1476
"ENSG00000000457.13","SCYL3",354,234,182,376
"ENSG00000000460.16","C1orf112",241,206,84,307
"ENSG00000000938.12","FGR",46,62,31,41
"ENSG00000000971.15","CFH",72,4090,124,20
"ENSG00000001036.13","FUCA2",906,1148,530,1797
"ENSG00000001084.12","GCLC",985,419,675,1080
"ENSG00000001167.14","NFYA",1520,385,581,844
"ENSG00000001460.17","STPG1",194,176,115,191
"ENSG00000001461.16","NIPAL3",685,655,1301,1098
"ENSG00000001497.16","LAS1L",285,908,443,1094
"ENSG00000001561.6","ENPP4",734,671,623,858
"ENSG00000001617.11","SEMA3F",1222,590,375,1209
"ENSG00000001626.15","CFTR",19,15,31,94
"ENSG00000001629.9","ANKIB1",1775,976,1652,1825
"ENSG00000001630.16","CYP51A1",87,202,156,129
"ENSG00000001631.15","KRIT1",247,277,478,387
"ENSG00000002016.17","RAD52",172,342,383,223
"ENSG00000002079.14","MYH16",1,4,NA,1
"ENSG00000002330.13","BAD",481,254,512,606
"ENSG00000002549.12","LAP3",865,1612,583,1084
"ENSG00000002586.19","CD99",NA,NA,NA,NA
"ENSG00000002586.19_PAR_Y","CD99",NA,NA,NA,NA
"ENSG00000002587.9","HS3ST1",43,100,15,23
"ENSG00000002726.20","AOC1",1418,833,652,680
"ENSG00000002745.12","WNT16",NA,NA,NA,4
"ENSG00000002746.14","HECW1",19,35,34,105
"ENSG00000002822.15","MAD1L1",563,385,198,808
"ENSG00000002834.17","LASP1",4972,10432,2200,7278
"ENSG00000002919.14","SNX11",361,98,292,443
"ENSG00000002933.8","TMEM176A",1234,111,278,794
"ENSG00000003056.7","M6PR",1305,1459,898,3286
"ENSG00000003096.14","KLHL13",14,28,NA,28
"ENSG00000003137.8","CYP26B1",2005,3746,62,55
"ENSG00000003147.18","ICA1",699,166,257,831
"ENSG00000003249.13","DBNDD1",370,143,217,603
"ENSG00000003393.14","ALS2",1478,553,511,938
"ENSG00000003400.14","CASP10",144,365,504,638
"ENSG00000003402.19","CFLAR",3838,1867,2403,2195
"ENSG00000003436.15","TFPI",4,6,10,6
"ENSG00000003509.15","NDUFAF7",375,205,319,401
"ENSG00000003756.16","RBM5",1155,2226,2061,1900
"ENSG00000003987.13","MTMR7",201,22,21,12
"ENSG00000003989.17","SLC7A2",2896,284,102,10
"ENSG00000004059.10","ARF5",1150,673,1221,2581
"ENSG00000004139.13","SARM1",311,746,253,784
"ENSG00000004142.11","POLDIP2",881,772,777,2371
"ENSG00000004399.12","PLXND1",1264,507,454,3320
"ENSG00000004455.16","AK2",1478,3106,3629,3931
"ENSG00000004468.12","CD38",25,9,9,13
"ENSG00000004478.7","FKBP4",4554,8075,5564,8511
"ENSG00000004487.16","KDM1A",1828,3067,2011,2690
"ENSG00000004534.14","RBM6",1423,3226,1205,2206
"ENSG00000004660.14","CAMKK1",231,142,122,523
"ENSG00000004700.15","RECQL",676,560,272,1258
"ENSG00000004766.16","VPS50",397,332,475,441
"ENSG00000004776.12","HSPB6",19,NA,101,446
"ENSG00000004777.18","ARHGAP33",202,156,377,1511
"ENSG00000004779.9","NDUFAB1",590,479,822,933
"ENSG00000004799.7","PDK4",420,944,280,593
"ENSG00000004809.13","SLC22A16",1,NA,1,NA
"ENSG00000004838.13","ZMYND10",62,206,25,43
"ENSG00000004846.16","ABCB5",NA,2,8,46
"ENSG00000004848.7","ARX",NA,NA,1,NA
"ENSG00000004864.13","SLC25A13",887,788,612,1436
"ENSG00000004866.20","ST7",197,271,242,817
"ENSG00000004897.11","CDC27",886,596,915,1213
"ENSG00000004939.14","SLC4A1",NA,1,NA,3
"ENSG00000004948.14","CALCR",9,6,NA,NA
"ENSG00000004961.14","HCCS",145,631,219,349
"ENSG00000004975.11","DVL2",805,1409,470,1680
"ENSG00000005001.9","PRSS22",1453,1056,557,669
"ENSG00000005007.12","UPF1",1515,1491,2133,3425
"ENSG00000005020.12","SKAP2",111,245,290,1299
"ENSG00000005022.5","SLC25A5",1548,7325,2527,8048
"ENSG00000005059.15","MCUB",122,77,75,331
"ENSG00000005073.5","HOXA11",NA,NA,NA,NA
"ENSG00000005075.15","POLR2J",310,368,448,825
"ENSG00000005100.12","DHX33",671,470,380,916
"ENSG00000005102.12","MEOX1",535,36,3,137
"ENSG00000005108.15","THSD7A",42,174,29,3
"ENSG00000005156.11","LIG3",625,501,368,1145
"ENSG00000005175.9","RPAP3",506,473,389,596
"ENSG00000005187.11","ACSM3",343,228,64,155
"ENSG00000005189.19","REXO5",84,47,33,101
"ENSG00000005194.14","CIAPIN1",530,461,579,754
"ENSG00000005206.16","SPPL2B",530,591,507,1126
"ENSG00000005238.19","FAM214B",309,130,292,214
"ENSG00000005243.9","COPZ2",8,1,53,77
"ENSG00000005249.12","PRKAR2B",113,172,247,628
"ENSG00000005302.18","MSL3",378,490,413,724
"ENSG00000005339.14","CREBBP",3102,1176,1427,4597
"ENSG00000005379.16","TSPOAP1",704,538,400,1115
"ENSG00000005381.7","MPO",8,NA,3,39
"ENSG00000005421.8","PON1",2,6,2,2
"ENSG00000005436.13","GCFC2",274,322,207,530
"ENSG00000005448.16","WDR54",254,205,233,320
"ENSG00000005469.11","CROT",146,93,280,278
"ENSG00000005471.17","ABCB4",5,14,2,2
"ENSG00000005483.20","KMT2E",2473,2556,1641,2511
"ENSG00000005486.16","RHBDD2",1207,1223,2403,1742
"ENSG00000005513.9","SOX8",NA,NA,3,1
"ENSG00000005700.14","IBTK",1496,591,984,1139
"ENSG00000005801.17","ZNF195",1216,1235,408,991
"ENSG00000005810.17","MYCBP2",1414,835,898,1238
"ENSG00000005812.10","FBXL3",1276,852,740,855
"ENSG00000005844.17","ITGAL",47,18,70,43
"ENSG00000005882.11","PDK2",694,261,506,1025
"ENSG00000005884.17","ITGA3",17481,6320,7748,14121
"ENSG00000005889.15","ZFX",368,579,347,873
"ENSG00000005893.15","LAMP2",1748,1889,1395,5262
"ENSG00000005961.18","ITGA2B",51,69,24,92
"ENSG00000005981.12","ASB4",NA,NA,2,NA
"ENSG00000006007.11","GDE1",1455,835,925,1405
"ENSG00000006015.17","REX1BD",303,538,481,447
"ENSG00000006016.10","CRLF1",63,61,13,26
"ENSG00000006025.11","OSBPL7",269,650,381,408
"ENSG00000006042.11","TMEM98",1642,21,9,517
"ENSG00000006047.12","YBX2",190,135,52,365
"ENSG00000006059.3","KRT33A",NA,NA,NA,NA
"ENSG00000006062.15","MAP3K14",206,455,184,422
"ENSG00000006071.13","ABCC8",NA,4,1,NA
"ENSG00000006116.3","CACNG3",NA,NA,NA,NA
"ENSG00000006118.14","TMEM132A",3497,1310,1699,1139
"ENSG00000006125.17","AP2B1",2881,1924,731,3899
"ENSG00000006128.11","TAC1",3,NA,7,10
"ENSG00000006194.9","ZNF263",727,422,574,900
"ENSG00000006210.6","CX3CL1",312,345,82,926
"ENSG00000006282.20","SPATA20",914,1102,1031,2153
"ENSG00000006283.17","CACNA1G",13,2,3,10
"ENSG00000006327.13","TNFRSF12A",2757,3074,2706,4301
"ENSG00000006377.10","DLX6",1,64,NA,NA
"ENSG00000006432.15","MAP3K9",864,1710,781,1044
"ENSG00000006451.7","RALA",1498,1245,427,1471
"ENSG00000006453.13","BAIAP2L1",985,1434,604,1192
"ENSG00000006459.10","KDM7A",707,373,534,397
"ENSG00000006468.13","ETV1",23,1,6,1
"ENSG00000006530.16","AGK",347,250,473,848
"ENSG00000006534.15","ALDH3B1",817,1122,358,1139
"ENSG00000006555.10","TTC22",252,306,277,557
"ENSG00000006576.16","PHTF2",426,557,694,538
"ENSG00000006606.8","CCL26",NA,5,8,3
"ENSG00000006607.13","FARP2",1021,934,585,744
"ENSG00000006611.15","USH1C",13,1,4,32
"ENSG00000006625.17","GGCT",742,947,475,1476
"ENSG00000006634.7","DBF4",206,270,259,286
"ENSG00000006638.11","TBXA2R",14,3,1,7
"ENSG00000006652.13","IFRD1",1125,688,832,1666
"ENSG00000006659.12","LGALS14",NA,NA,1,14
"ENSG00000006695.10","COX10",276,190,233,625
"ENSG00000006704.10","GTF2IRD1",1102,593,1013,1204
"ENSG00000006712.14","PAF1",877,478,1258,2834
"ENSG00000006715.15","VPS41",1998,990,496,2120
"ENSG00000006740.16","ARHGAP44",234,87,322,1024
"ENSG00000006744.18","ELAC2",711,686,722,1437
"ENSG00000006747.14","SCIN",14,18,13,17
"ENSG00000006756.15","ARSD",348,1196,249,857
"ENSG00000006757.11","PNPLA4",4,216,81,427
"ENSG00000006788.13","MYH13",NA,NA,1,NA
"ENSG00000006831.9","ADIPOR2",1189,3046,1183,1774
"ENSG00000006837.11","CDKL3",9,6,10,12
"ENSG00000007001.12","UPP2",NA,NA,1,NA
"ENSG00000007038.10","PRSS21",72,2301,519,589
"ENSG00000007047.14","MARK4",827,252,445,504
"ENSG00000007062.11","PROM1",97,12,191,42
"ENSG00000007080.10","CCDC124",577,869,1287,1829
"ENSG00000007129.17","CEACAM21",1,1,3,2
"ENSG00000007168.12","PAFAH1B1",1831,1275,1566,3463
"ENSG00000007171.17","NOS2",16,2,NA,2
"ENSG00000007174.17","DNAH9",13,NA,NA,41
"ENSG00000007202.14","KIAA0100",2987,2347,2625,4378
"ENSG00000007216.14","SLC13A2",NA,4,NA,1
"ENSG00000007237.18","GAS7",192,55,78,1249
"ENSG00000007255.10","TRAPPC6A",169,149,95,234
"ENSG00000007264.14","MATK",4,118,3,11
"ENSG00000007306.14","CEACAM7",NA,NA,NA,NA
"ENSG00000007312.12","CD79B",5,3,NA,14
"ENSG00000007314.12","SCN4A",16,1,NA,39
"ENSG00000007341.18","ST7L",168,263,148,196
"ENSG00000007350.16","TKTL1",2,3,3,976
"ENSG00000007372.22","PAX6",4,121,19,2
"ENSG00000007376.7","RPUSD1",442,327,420,920
"ENSG00000007384.15","RHBDF1",982,154,380,841
"ENSG00000007392.16","LUC7L",2049,784,1177,1401
"ENSG00000007402.11","CACNA2D2",133,14,27,67
"ENSG00000007516.13","BAIAP3",704,155,443,114
"ENSG00000007520.3","TSR3",461,330,492,1008
"ENSG00000007541.16","PIGQ",715,394,564,1241
"ENSG00000007545.15","CRAMP1",972,325,497,912
"ENSG00000007866.20","TEAD3",1596,378,541,945
"ENSG00000007908.15","SELE",NA,1,NA,NA
"ENSG00000007923.15","DNAJC11",942,1387,979,1577
"ENSG00000007933.12","FMO3",NA,1,NA,NA
"ENSG00000007944.14","MYLIP",708,276,525,787
"ENSG00000007952.17","NOX1",NA,NA,NA,NA
"ENSG00000007968.6","E2F2",83,108,75,387
"ENSG00000008018.8","PSMB1",1863,874,1153,1778
"ENSG00000008056.13","SYN1",12,7,1,35
"ENSG00000008083.13","JARID2",686,327,388,637
"ENSG00000008086.11","CDKL5",190,93,78,155
"ENSG00000008118.9","CAMK1G",8,1,NA,1
"ENSG00000008128.22","CDK11A",306,229,321,470
"ENSG00000008130.15","NADK",974,769,1072,1852
"ENSG00000008196.12","TFAP2B",NA,NA,NA,NA
"ENSG00000008197.4","TFAP2D",NA,NA,NA,NA
"ENSG00000008226.19","DLEC1",68,56,47,39
"ENSG00000008256.15","CYTH3",1219,442,379,1449
"ENSG00000008277.14","ADAM22",70,84,55,3
"ENSG00000008282.8","SYPL1",1947,1637,1623,2737
"ENSG00000008283.15","CYB561",2297,1763,1054,1945
"ENSG00000008294.20","SPAG9",1371,1011,763,1550
"ENSG00000008300.16","CELSR3",357,90,229,337
"ENSG00000008311.14","AASS",157,76,5,79
"ENSG00000008323.15","PLEKHG6",412,100,122,846
"ENSG00000008324.11","SS18L2",113,226,205,197
"ENSG00000008382.15","MPND",153,233,179,317
"ENSG00000008394.12","MGST1",181,774,1348,243
"ENSG00000008405.11","CRY1",896,412,587,1186
"ENSG00000008438.4","PGLYRP1",NA,NA,NA,NA
"ENSG00000008441.16","NFIX",558,5151,2614,5857
"ENSG00000008513.15","ST3GAL1",1697,7092,2711,3072
"ENSG00000008516.16","MMP25",16,3,5,41
"ENSG00000008517.16","IL32",505,86,26,552
"ENSG00000008710.19","PKD1",2373,1206,3720,3197
"ENSG00000008735.13","MAPK8IP2",71,128,32,1651
"ENSG00000008838.19","MED24",1138,1669,473,1753
"ENSG00000008853.16","RHOBTB2",1075,799,587,1067
"ENSG00000008869.11","HEATR5B",997,701,682,678
"ENSG00000008952.16","SEC62",4261,1921,2383,5699
"ENSG00000008988.9","RPS20",9131,17703,8963,17581
"ENSG00000009307.15","CSDE1",39458,9565,10402,10446
"ENSG00000009335.17","UBE3C",1981,952,1965,3298
"ENSG00000009413.15","REV3L",816,186,335,1109
"ENSG00000009694.13","TENM1",13,NA,20,4
"ENSG00000009709.11","PAX7",NA,1,NA,NA
"ENSG00000009724.16","MASP2",20,22,23,4
"ENSG00000009765.14","IYD",NA,1,1,NA
"ENSG00000009780.15","FAM76A",189,216,195,349
"ENSG00000009790.14","TRAF3IP3",7,14,14,11
"ENSG00000009830.11","POMT2",343,598,684,1420
"ENSG00000009844.15","VTA1",934,561,514,1348
"ENSG00000009950.15","MLXIPL",290,169,128,1479
"ENSG00000009954.10","BAZ1B",2283,1968,2866,3013
"ENSG00000010017.12","RANBP9",1001,606,872,983
"ENSG00000010030.13","ETV7",15,1,7,63
"ENSG00000010072.15","SPRTN",268,130,295,355
"ENSG00000010165.19","METTL13",860,1302,659,868
"ENSG00000010219.13","DYRK4",58,257,47,300
"ENSG00000010244.18","ZNF207",3731,2095,2477,5947
"ENSG00000010256.10","UQCRC1",1043,3302,2684,2180
"ENSG00000010270.13","STARD3NL",660,673,394,780
"ENSG00000010278.13","CD9",7057,6690,8174,12596
"ENSG00000010282.14","HHATL",1,3,NA,3
"ENSG00000010292.12","NCAPD2",1400,2236,761,3564
"ENSG00000010295.19","IFFO1",25,15,15,36
"ENSG00000010310.8","GIPR",46,30,30,28
"ENSG00000010318.20","PHF7",20,91,27,57
"ENSG00000010319.6","SEMA3G",32,20,6,25
"ENSG00000010322.15","NISCH",1319,2750,1485,2125
"ENSG00000010327.10","STAB1",652,433,513,841
"ENSG00000010361.13","FUZ",517,132,167,518
"ENSG00000010379.15","SLC6A13",15,4,17,92
"ENSG00000010404.17","IDS",1114,2447,2702,2099
"ENSG00000010438.16","PRSS3",1,1,1,1
"ENSG00000010539.11","ZNF200",132,133,98,277
"ENSG00000010610.9","CD4",221,127,109,218
"ENSG00000010626.14","LRRC23",196,195,86,222
"ENSG00000010671.15","BTK",37,13,15,28
"ENSG00000010704.18","HFE",39,12,277,265
"ENSG00000010803.16","SCMH1",220,534,396,963
"ENSG00000010810.17","FYN",733,49,654,1411
"ENSG00000010818.9","HIVEP2",2377,593,517,1433
"ENSG00000010932.16","FMO1",1,3,1,NA
"ENSG00000011007.12","ELOA",864,886,928,987
"ENSG00000011009.10","LYPLA2",1309,1540,1504,2853
"ENSG00000011021.22","CLCN6",518,826,521,958
"ENSG00000011028.13","MRC2",226,1559,1158,1306
"ENSG00000011052.21","NME1-NME2",11,30,10,38
"ENSG00000011083.8","SLC6A7",NA,1,NA,2
"ENSG00000011105.13","TSPAN9",824,738,510,1742
"ENSG00000011114.14","BTBD7",809,667,762,950
"ENSG00000011132.11","APBA3",145,87,172,316
"ENSG00000011143.16","MKS1",336,363,232,354
"ENSG00000011198.9","ABHD5",179,307,289,466
"ENSG00000011201.11","ANOS1",195,63,87,245
"ENSG00000011243.17","AKAP8L",1681,1149,3057,5552
"ENSG00000011258.15","MBTD1",1272,953,551,843
"ENSG00000011260.13","UTP18",501,888,385,766
"ENSG00000011275.18","RNF216",1081,395,536,1816
"ENSG00000011295.15","TTC19",816,852,495,1023
"ENSG00000011304.19","PTBP1",3275,3709,4262,6835
"ENSG00000011332.19","DPF1",33,6,38,31
"ENSG00000011347.9","SYT7",809,409,75,293
"ENSG00000011376.10","LARS2",200,559,303,486
"ENSG00000011405.13","PIK3C2A",1858,1717,766,2278
"ENSG00000011422.11","PLAUR",882,130,438,696
"ENSG00000011426.10","ANLN",656,1145,465,1595
"ENSG00000011451.19","WIZ",761,1165,1013,2482
"ENSG00000011454.16","RABGAP1",1315,1160,506,995
"ENSG00000011465.16","DCN",95,6,37,40
"ENSG00000011478.11","QPCTL",152,94,138,262
"ENSG00000011485.14","PPP5C",1093,948,1079,1251
"ENSG00000011523.13","CEP68",614,572,262,714
"ENSG00000011566.14","MAP4K3",1532,596,539,1077
"ENSG00000011590.13","ZBTB32",NA,NA,NA,1
"ENSG00000011600.11","TYROBP",236,103,195,153
"ENSG00000011638.10","TMEM159",257,107,115,175
"ENSG00000011677.12","GABRA3",2,117,32,53
"ENSG00000012048.21","BRCA1",190,734,81,454
"ENSG00000012061.15","ERCC1",551,409,641,830
"ENSG00000012124.16","CD22",525,302,84,1234
"ENSG00000012171.19","SEMA3B",1308,3334,3785,4224
"ENSG00000012174.11","MBTPS2",212,615,186,337
"ENSG00000012211.12","PRICKLE3",188,440,158,418
"ENSG00000012223.12","LTF",5,25,11,10
"ENSG00000012232.8","EXTL3",1290,1323,314,1052
"ENSG00000012504.14","NR1H4",NA,NA,1,4
"ENSG00000012660.13","ELOVL5",1324,3130,1057,1340
"ENSG00000012779.10","ALOX5",344,451,169,941
"ENSG00000012817.15","KDM5D",NA,NA,NA,NA
"ENSG00000012822.15","CALCOCO1",1731,1343,1802,3219
"ENSG00000012963.14","UBR7",306,429,457,441
"ENSG00000012983.11","MAP4K5",839,1026,583,1306
"ENSG00000013016.15","EHD3",373,244,182,280
"ENSG00000013275.7","PSMC4",1066,703,2334,4737
"ENSG00000013288.8","MAN2B2",539,640,312,1188
"ENSG00000013293.5","SLC7A14",NA,2,NA,6
"ENSG00000013297.11","CLDN11",42,49,13,313
"ENSG00000013306.15","SLC25A39",2399,3117,2349,4357
"ENSG00000013364.18","MVP",2380,1369,2616,3843
"ENSG00000013374.16","NUB1",673,473,1112,1846
"ENSG00000013375.15","PGM3",971,237,594,922
"ENSG00000013392.7","RWDD2A",152,66,74,158
"ENSG00000013441.15","CLK1",1330,1616,1821,1275
"ENSG00000013503.9","POLR3B",242,229,306,597
"ENSG00000013523.9","ANGEL1",416,651,706,1379
"ENSG00000013561.17","RNF14",574,515,726,697
"ENSG00000013563.13","DNASE1L1",315,692,832,882
